state_id,session_id,fatigue_level,emotion_state,confidence_score
1,1,High,Neutral,0.63
2,1,Low,Happy,0.66
3,1,Medium,Sad,0.96
4,1,Medium,Sad,0.76
5,1,Medium,Angry,0.97
6,2,Low,Happy,0.61
7,2,Low,Stressed,0.78
8,2,Medium,Neutral,0.96
9,2,High,Angry,0.69
10,2,Medium,Sad,0.76
11,3,High,Sad,0.72
12,3,Low,Angry,0.62
13,3,Low,Neutral,0.95
14,3,Low,Sad,0.74
15,3,High,Angry,0.75
16,4,Low,Angry,0.79
17,4,High,Stressed,0.59
18,4,Medium,Stressed,0.59
19,4,High,Happy,0.95
20,4,High,Neutral,0.94
21,5,Medium,Angry,0.99
22,5,Medium,Stressed,0.51
23,5,Medium,Stressed,0.5
24,5,Medium,Stressed,0.76
25,5,Medium,Happy,0.74
26,6,Low,Sad,0.72
27,6,Low,Happy,0.64
28,6,Medium,Neutral,0.99
29,6,Low,Happy,0.61
30,6,Medium,Neutral,0.74
31,7,Medium,Happy,0.99
32,7,High,Sad,0.69
33,7,High,Angry,0.69
34,7,Low,Neutral,0.62
35,7,High,Stressed,0.89
36,8,Low,Happy,0.93
37,8,Low,Happy,0.52
38,8,High,Sad,0.78
39,8,High,Neutral,0.98
40,8,High,Angry,0.66
41,9,High,Stressed,0.71
42,9,Medium,Neutral,0.97
43,9,High,Angry,0.76
44,9,Low,Stressed,0.69
45,9,Medium,Sad,0.78
46,10,Medium,Angry,0.86
47,10,Low,Neutral,0.53
48,10,Medium,Sad,0.96
49,10,Low,Sad,0.73
50,10,Low,Sad,0.57
51,11,Low,Angry,1.0
52,11,High,Stressed,0.93
53,11,Medium,Happy,0.94
54,11,Low,Angry,0.85
55,11,Low,Sad,0.78
56,12,Medium,Happy,0.6
57,12,Medium,Sad,0.78
58,12,High,Neutral,0.96
59,12,High,Sad,0.93
60,12,High,Stressed,0.7
61,13,Low,Stressed,0.82
62,13,Medium,Angry,0.69
63,13,Low,Angry,0.86
64,13,Low,Happy,0.59
65,13,Low,Neutral,0.99
66,14,Low,Happy,0.8
67,14,Low,Stressed,0.62
68,14,Medium,Happy,0.56
69,14,High,Sad,0.55
70,14,Low,Stressed,0.81
71,15,High,Happy,0.51
72,15,High,Happy,0.76
73,15,Medium,Neutral,0.98
74,15,High,Sad,0.88
75,15,Medium,Happy,0.73
76,16,Low,Sad,0.54
77,16,Low,Angry,0.74
78,16,Medium,Stressed,0.55
79,16,High,Neutral,0.92
80,16,Low,Happy,0.77
81,17,Low,Sad,0.53
82,17,Medium,Stressed,0.52
83,17,Medium,Angry,0.96
84,17,Low,Neutral,0.69
85,17,Medium,Angry,0.51
86,18,High,Happy,0.81
87,18,Low,Stressed,0.67
88,18,Low,Angry,0.73
89,18,High,Stressed,0.84
90,18,High,Neutral,0.55
91,19,High,Stressed,0.75
92,19,Low,Stressed,0.71
93,19,Medium,Stressed,0.61
94,19,Medium,Angry,0.72
95,19,High,Angry,0.6
96,20,High,Angry,1.0
97,20,Low,Neutral,0.79
98,20,Low,Stressed,0.71
99,20,Medium,Happy,0.89
100,20,Low,Happy,0.55
101,21,High,Angry,0.97
102,21,Medium,Sad,0.61
103,21,Low,Stressed,0.77
104,21,Low,Neutral,0.99
105,21,Medium,Sad,0.65
106,22,High,Angry,0.5
107,22,Low,Sad,0.63
108,22,Medium,Stressed,0.68
109,22,Low,Neutral,0.99
110,22,High,Sad,0.55
111,23,Low,Angry,0.61
112,23,Low,Neutral,0.99
113,23,High,Stressed,0.73
114,23,Low,Stressed,0.63
115,23,High,Stressed,0.93
116,24,Low,Angry,0.6
117,24,High,Stressed,0.67
118,24,Low,Angry,0.57
119,24,High,Sad,0.88
120,24,High,Angry,0.83
121,25,Medium,Sad,0.9
122,25,High,Sad,0.88
123,25,Low,Happy,0.72
124,25,High,Happy,0.96
125,25,Low,Stressed,0.97
126,26,Medium,Angry,0.83
127,26,High,Neutral,0.76
128,26,High,Neutral,0.62
129,26,Medium,Sad,0.59
130,26,High,Stressed,0.62
131,27,Medium,Sad,0.67
132,27,High,Stressed,0.75
133,27,Low,Angry,0.69
134,27,High,Angry,0.81
135,27,Low,Neutral,0.99
136,28,Low,Happy,0.73
137,28,High,Neutral,0.95
138,28,High,Happy,0.7
139,28,Medium,Neutral,0.82
140,28,Low,Angry,0.96
141,29,Low,Angry,0.97
142,29,Low,Neutral,0.75
143,29,High,Neutral,0.7
144,29,Low,Neutral,0.72
145,29,Medium,Neutral,0.54
146,30,High,Sad,0.82
147,30,Low,Angry,0.69
148,30,High,Sad,0.91
149,30,Low,Sad,0.89
150,30,Medium,Neutral,0.94
151,31,Low,Stressed,0.61
152,31,High,Neutral,0.66
153,31,Low,Sad,0.51
154,31,Low,Neutral,0.63
155,31,High,Neutral,0.66
156,32,Low,Neutral,0.81
157,32,Medium,Sad,0.69
158,32,Low,Sad,0.6
159,32,Medium,Happy,0.97
160,32,Low,Angry,0.52
161,33,Medium,Neutral,0.74
162,33,High,Stressed,0.67
163,33,High,Happy,0.7
164,33,Low,Neutral,0.88
165,33,High,Stressed,0.83
166,34,High,Stressed,0.89
167,34,High,Neutral,0.78
168,34,Medium,Angry,0.8
169,34,High,Happy,0.82
170,34,High,Happy,0.63
171,35,Medium,Angry,0.75
172,35,High,Stressed,0.77
173,35,High,Angry,0.57
174,35,Low,Sad,0.79
175,35,Medium,Angry,0.76
176,36,High,Angry,0.55
177,36,Medium,Happy,0.81
178,36,Medium,Stressed,0.86
179,36,Medium,Angry,0.67
180,36,Low,Sad,0.51
181,37,Medium,Happy,0.53
182,37,Low,Neutral,0.52
183,37,High,Stressed,0.91
184,37,High,Neutral,0.96
185,37,Low,Neutral,0.95
186,38,High,Neutral,0.98
187,38,High,Happy,0.93
188,38,Low,Happy,0.94
189,38,High,Neutral,0.98
190,38,Low,Stressed,0.71
191,39,High,Happy,0.62
192,39,Low,Neutral,0.99
193,39,High,Neutral,0.67
194,39,High,Sad,0.63
195,39,Low,Happy,0.92
196,40,Medium,Stressed,0.94
197,40,High,Happy,0.58
198,40,Low,Stressed,0.66
199,40,High,Sad,0.91
200,40,Low,Neutral,0.58
201,41,High,Happy,0.74
202,41,High,Angry,0.94
203,41,Medium,Sad,0.51
204,41,High,Angry,0.65
205,41,Low,Happy,0.94
206,42,Low,Angry,0.75
207,42,Low,Neutral,0.75
208,42,High,Angry,0.98
209,42,Medium,Neutral,0.57
210,42,Low,Angry,0.59
211,43,Medium,Sad,0.89
212,43,Medium,Stressed,0.77
213,43,Low,Stressed,0.7
214,43,Low,Angry,0.98
215,43,High,Sad,0.57
216,44,Medium,Neutral,0.58
217,44,High,Neutral,0.79
218,44,Low,Sad,0.61
219,44,High,Neutral,0.89
220,44,Low,Stressed,0.7
221,45,Medium,Neutral,0.97
222,45,Low,Happy,0.63
223,45,High,Stressed,0.56
224,45,Low,Neutral,0.63
225,45,Low,Sad,0.92
226,46,High,Neutral,0.58
227,46,High,Angry,0.57
228,46,High,Neutral,0.93
229,46,Medium,Stressed,0.86
230,46,High,Neutral,0.99
231,47,Low,Sad,0.83
232,47,Medium,Sad,0.7
233,47,Low,Happy,0.55
234,47,Medium,Stressed,0.52
235,47,Medium,Neutral,0.75
236,48,High,Angry,0.76
237,48,Medium,Stressed,0.79
238,48,High,Happy,0.83
239,48,Medium,Neutral,0.91
240,48,Medium,Angry,0.89
241,49,High,Happy,0.91
242,49,Low,Happy,0.87
243,49,Low,Sad,0.61
244,49,High,Angry,0.71
245,49,High,Angry,0.79
246,50,Low,Stressed,0.85
247,50,Low,Stressed,0.77
248,50,High,Neutral,0.66
249,50,Low,Angry,0.69
250,50,Low,Angry,0.51
251,51,High,Stressed,0.63
252,51,High,Happy,0.61
253,51,High,Happy,0.81
254,51,High,Happy,0.84
255,51,Medium,Happy,0.74
256,52,Low,Happy,0.62
257,52,Low,Angry,1.0
258,52,High,Stressed,0.81
259,52,Low,Angry,0.69
260,52,High,Neutral,0.51
261,53,High,Happy,0.75
262,53,High,Happy,0.84
263,53,High,Angry,0.66
264,53,Medium,Happy,0.89
265,53,Medium,Neutral,0.59
266,54,High,Happy,0.98
267,54,Medium,Neutral,0.9
268,54,High,Happy,0.77
269,54,High,Stressed,0.58
270,54,Low,Angry,0.61
271,55,Low,Angry,0.71
272,55,Medium,Angry,0.99
273,55,High,Stressed,0.82
274,55,Low,Sad,0.51
275,55,Low,Stressed,0.85
276,56,High,Angry,0.85
277,56,Medium,Sad,0.95
278,56,Low,Happy,0.88
279,56,High,Stressed,0.56
280,56,Low,Neutral,0.56
281,57,Medium,Happy,0.61
282,57,Low,Happy,0.85
283,57,Low,Neutral,0.89
284,57,Medium,Stressed,0.54
285,57,High,Angry,0.78
286,58,Low,Stressed,0.88
287,58,Low,Angry,0.63
288,58,Medium,Angry,0.51
289,58,High,Stressed,0.8
290,58,Medium,Sad,0.95
291,59,Low,Neutral,0.97
292,59,High,Angry,0.65
293,59,Low,Sad,0.81
294,59,Medium,Sad,0.74
295,59,Medium,Stressed,0.54
296,60,High,Neutral,0.65
297,60,Medium,Angry,0.56
298,60,High,Sad,0.77
299,60,Low,Angry,0.77
300,60,High,Angry,0.88
301,61,Low,Happy,0.6
302,61,Medium,Neutral,0.8
303,61,High,Neutral,0.86
304,61,Medium,Sad,0.87
305,61,High,Stressed,0.57
306,62,High,Stressed,0.97
307,62,Low,Sad,1.0
308,62,High,Stressed,0.59
309,62,Medium,Happy,0.94
310,62,Medium,Stressed,0.75
311,63,High,Angry,0.55
312,63,Medium,Sad,0.64
313,63,High,Neutral,0.81
314,63,Low,Angry,0.61
315,63,Low,Happy,0.72
316,64,High,Angry,0.9
317,64,Low,Happy,0.52
318,64,Medium,Angry,0.76
319,64,Medium,Stressed,0.73
320,64,Low,Stressed,0.52
321,65,Low,Stressed,0.93
322,65,Low,Neutral,0.99
323,65,High,Sad,0.59
324,65,Medium,Happy,0.9
325,65,Medium,Angry,0.7
326,66,Low,Sad,0.72
327,66,Medium,Stressed,0.58
328,66,Low,Angry,0.81
329,66,High,Happy,0.9
330,66,High,Angry,0.61
331,67,Low,Angry,0.77
332,67,Low,Sad,0.87
333,67,Medium,Neutral,0.69
334,67,Medium,Sad,0.58
335,67,High,Sad,0.81
336,68,High,Neutral,0.74
337,68,High,Sad,0.55
338,68,High,Stressed,0.76
339,68,Medium,Angry,0.8
340,68,Low,Neutral,0.53
341,69,Medium,Neutral,0.8
342,69,High,Stressed,0.52
343,69,Low,Sad,0.72
344,69,Medium,Sad,0.67
345,69,High,Neutral,0.84
346,70,High,Neutral,0.99
347,70,Medium,Sad,0.96
348,70,Medium,Angry,0.64
349,70,Medium,Neutral,0.58
350,70,High,Angry,0.8
351,71,High,Stressed,0.63
352,71,Medium,Neutral,0.9
353,71,High,Happy,0.72
354,71,Medium,Happy,0.75
355,71,Medium,Stressed,0.77
356,72,Medium,Angry,0.64
357,72,High,Stressed,0.85
358,72,Medium,Sad,0.86
359,72,Low,Angry,0.89
360,72,Medium,Stressed,0.95
361,73,Low,Happy,0.53
362,73,High,Stressed,0.64
363,73,Medium,Angry,0.83
364,73,Low,Stressed,0.58
365,73,High,Happy,0.9
366,74,High,Neutral,0.57
367,74,Medium,Neutral,0.59
368,74,High,Neutral,0.76
369,74,High,Angry,0.59
370,74,Low,Sad,0.87
371,75,Medium,Happy,0.58
372,75,High,Stressed,0.87
373,75,Medium,Angry,0.91
374,75,Low,Stressed,0.69
375,75,High,Stressed,0.52
376,76,High,Neutral,0.87
377,76,Medium,Happy,0.85
378,76,High,Happy,0.92
379,76,High,Stressed,0.53
380,76,High,Neutral,0.72
381,77,Low,Happy,0.63
382,77,High,Neutral,0.58
383,77,Medium,Stressed,0.6
384,77,Medium,Angry,0.97
385,77,Low,Happy,0.76
386,78,Low,Stressed,0.93
387,78,Low,Sad,0.65
388,78,High,Happy,0.69
389,78,High,Sad,0.82
390,78,Medium,Stressed,0.92
391,79,High,Stressed,0.7
392,79,High,Happy,0.63
393,79,High,Stressed,0.95
394,79,High,Happy,0.98
395,79,Low,Stressed,0.64
396,80,Low,Angry,0.7
397,80,High,Stressed,0.86
398,80,High,Happy,0.8
399,80,Medium,Sad,0.92
400,80,Medium,Stressed,0.77
401,81,High,Neutral,0.69
402,81,High,Angry,0.57
403,81,Medium,Neutral,0.5
404,81,Medium,Stressed,0.9
405,81,Low,Angry,0.88
406,82,High,Sad,0.98
407,82,High,Sad,0.77
408,82,Low,Stressed,0.85
409,82,Medium,Happy,0.7
410,82,Low,Stressed,0.88
411,83,High,Angry,0.77
412,83,High,Neutral,0.53
413,83,Low,Sad,0.89
414,83,Medium,Sad,0.94
415,83,Low,Stressed,0.63
416,84,High,Stressed,0.85
417,84,Low,Angry,0.52
418,84,High,Angry,0.61
419,84,Low,Happy,0.81
420,84,High,Sad,0.73
421,85,Medium,Neutral,0.79
422,85,High,Sad,0.84
423,85,Low,Neutral,0.68
424,85,Low,Sad,0.85
425,85,Medium,Sad,0.56
426,86,Medium,Happy,0.8
427,86,Medium,Happy,0.5
428,86,High,Sad,0.66
429,86,Low,Neutral,0.71
430,86,Medium,Angry,0.94
431,87,Low,Stressed,0.93
432,87,High,Stressed,0.7
433,87,Low,Neutral,0.97
434,87,Low,Sad,0.63
435,87,Medium,Stressed,0.61
436,88,Medium,Happy,0.65
437,88,Low,Happy,0.75
438,88,High,Happy,1.0
439,88,Low,Stressed,0.85
440,88,High,Neutral,0.94
441,89,High,Angry,0.66
442,89,High,Happy,0.65
443,89,Low,Neutral,0.57
444,89,Medium,Angry,0.79
445,89,Low,Happy,0.63
446,90,Low,Happy,0.8
447,90,Low,Neutral,0.76
448,90,Low,Happy,0.84
449,90,Medium,Happy,0.99
450,90,Low,Angry,0.74
451,91,Medium,Happy,0.85
452,91,Low,Stressed,0.93
453,91,Low,Neutral,0.62
454,91,Low,Stressed,0.69
455,91,High,Neutral,0.8
456,92,Medium,Happy,0.64
457,92,Low,Stressed,0.64
458,92,High,Neutral,0.58
459,92,Low,Sad,0.51
460,92,High,Sad,0.58
461,93,High,Happy,0.71
462,93,High,Neutral,0.51
463,93,High,Angry,0.76
464,93,Medium,Angry,0.92
465,93,High,Happy,0.69
466,94,Low,Happy,0.66
467,94,High,Angry,0.66
468,94,High,Happy,0.68
469,94,Low,Sad,0.72
470,94,High,Happy,0.78
471,95,Medium,Stressed,0.98
472,95,Medium,Happy,0.72
473,95,High,Angry,0.66
474,95,Low,Neutral,0.96
475,95,High,Happy,0.59
476,96,High,Neutral,0.54
477,96,High,Angry,0.57
478,96,Medium,Sad,0.68
479,96,Medium,Sad,0.74
480,96,Low,Sad,0.93
481,97,Low,Angry,0.94
482,97,High,Angry,0.75
483,97,High,Neutral,0.8
484,97,Low,Neutral,0.96
485,97,Medium,Angry,0.56
486,98,Low,Angry,0.79
487,98,High,Happy,0.51
488,98,Medium,Angry,0.56
489,98,Low,Angry,0.71
490,98,Medium,Happy,0.98
491,99,High,Neutral,0.74
492,99,High,Happy,0.98
493,99,Low,Stressed,0.88
494,99,Medium,Neutral,0.72
495,99,High,Angry,0.97
496,100,Medium,Stressed,0.75
497,100,High,Neutral,0.88
498,100,High,Sad,0.69
499,100,High,Stressed,0.88
500,100,Low,Happy,0.58
